0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,gender
-278.41953,127.576294,-34.408993,39.991055,4.729621,-3.4610698,-9.360838,-8.005129,-14.961379,-3.250034,-3.064179,2.5842013,0.455756,-5.3730288,-3.6206634,4.0134273,-6.012543,1.676071,4.040789,4.8846846,1
-259.95682,130.66936,-40.723667,38.30444,9.192084,-4.486479,-8.64894,-8.316885,-9.774176,-4.374952,-3.5579407,3.9430995,4.807017,-1.6724161,-1.5739294,3.5278656,-3.470248,5.6673064,4.57815,1.0257225,1
-322.0159,111.97397,-27.396057,50.84339,18.095774,-10.159179,-13.974926,-2.08866,-1.2191261,-2.5847032,-4.549503,4.8625774,4.423937,4.2639956,-1.25659,0.8993842,-3.1050746,6.469647,1.9230843,1.3953955,1
-287.21954,125.981415,-27.088663,37.863255,4.480466,-5.014031,-3.6314158,-7.2168927,-8.24315,-4.4196396,-4.793953,-0.47761962,5.557035,0.68861586,-2.5538185,1.7255174,-2.8175385,5.188787,5.652198,1.6634128,1
-263.95627,119.75168,-38.22654,42.146606,2.5045598,-3.31438,-10.539234,-12.367998,-10.725209,-3.3911765,-2.858906,-2.102923,3.7346792,-4.381327,-3.4621944,-0.189473,-7.056347,5.404625,3.4479175,2.9178739,1
-280.95584,128.23837,-38.617184,34.57448,9.934693,-12.500753,-16.176565,-8.323901,-3.599778,-1.4359668,0.07241931,4.667837,-0.96538854,0.40204132,2.984474,-3.0972855,-5.771566,5.177601,3.641611,5.128988,1
-272.1127,137.50511,-34.322517,42.44446,12.788864,-6.0267415,-12.569801,-9.606212,-9.309542,-4.099101,-5.800275,4.9779677,-0.25146896,-2.208529,2.871893,-0.94006926,-4.715951,4.5823107,6.3248935,4.555635,1
-270.8787,127.27919,-38.118015,49.31606,23.152222,-16.98593,-16.043098,-6.3468127,-2.5538504,-5.2540765,-3.1573346,5.2593174,-2.4936724,-0.00080472865,3.2675173,-2.5726628,-3.8731008,1.5095291,4.751954,2.0700612,1
-270.36917,137.79095,-32.71482,36.074783,11.815241,1.4692614,-8.475024,-7.37224,-12.305973,-3.5333204,-6.003399,7.0517874,5.380424,1.6165799,2.336064,6.1401424,2.2309253,3.2490127,3.2049916,0.8385068,1
-255.24352,132.18657,-33.086926,39.49454,4.0507956,-1.973009,2.5194514,-7.924187,-12.2191105,0.5111102,-7.0268726,2.2534773,4.69229,2.0082524,1.1055279,9.506008,-0.90902036,5.7784843,3.7613952,-0.7605609,1
